Dataset,F1_measure,Accuracy,ParsingTime
HDFS,0.999984,0.997500,0.313833
Hadoop,0.995869,0.869000,0.270868
Spark,0.991018,0.905000,0.360587
Zookeeper,0.995291,0.921000,0.197976
BGL,0.999554,0.957000,0.263761
HPC,0.992206,0.903000,0.175743
Thunderbird,0.999130,0.941000,0.269487
Windows,0.999281,0.689500,0.261928
Linux,0.992350,0.672500,0.267036
Android,0.940411,0.681500,0.384901
HealthApp,0.863969,0.567500,0.247026
Apache,1.000000,1.000000,0.222775
Proxifier,0.786336,0.495000,0.332065
OpenSSH,0.987212,0.538000,0.289575
OpenStack,0.986042,0.757500,0.357477
Mac,0.962113,0.763500,0.567777
Average,0.968173,0.791156,0.298926
