Dataset,F1_measure,Accuracy,ParsingTime
HDFS,0.974134,0.860000,5.735594
Hadoop,0.996539,0.885000,1.660953
Spark,0.989091,0.885000,1.481928
Zookeeper,0.998135,0.818500,1.068743
BGL,0.083116,0.329000,196.901821
HPC,0.867702,0.681000,3.961145
Thunderbird,0.999708,0.943000,0.990167
Windows,0.994594,0.565500,0.931587
Linux,0.992557,0.751500,0.917569
Android,0.921681,0.726000,1.471135
HealthApp,0.393984,0.174000,55.371854
Apache,1.000000,1.000000,0.881675
Proxifier,0.225497,0.001000,5.713398
OpenSSH,0.998088,0.677000,1.538964
OpenStack,0.078092,0.356500,223.772414
Mac,0.709558,0.685500,1.286848
Average,0.763905,0.646156,31.480362
