Dataset,F1_measure,Accuracy,ParsingTime
HDFS,0.998840,0.850500,1.566987
Hadoop,0.995530,0.869500,5.792236
Spark,0.841196,0.575500,7.103111
Zookeeper,0.985402,0.687500,3.646157
BGL,0.970038,0.724500,0.535726
HPC,0.975752,0.784000,7.658678
Thunderbird,0.998775,0.918500,6.408353
Windows,0.999987,0.992500,5.100617
Linux,0.938952,0.611500,6.126200
Android,0.900925,0.514000,6.209394
HealthApp,0.917665,0.686500,5.312839
Apache,1.000000,1.000000,3.075407
Proxifier,0.719125,0.516500,10.426486
OpenSSH,0.775871,0.429000,5.876354
OpenStack,0.994108,0.743000,8.114703
Mac,0.981544,0.876000,6.614452
Average,0.937107,0.736187,5.597981
