Dataset,F1_measure,Accuracy,ParsingTime
HDFS,1.000000,1.000000,0.458503
Hadoop,0.920197,0.777500,0.504452
Spark,0.991018,0.905000,0.496509
Zookeeper,0.999549,0.963500,0.387675
BGL,0.956932,0.786500,0.764993
HPC,0.986063,0.654000,0.341276
Thunderbird,0.994456,0.843500,0.553813
Windows,0.999974,0.988500,0.425395
Linux,0.936822,0.605000,0.474892
Android,0.992196,0.918500,0.633838
HealthApp,0.886674,0.639000,0.406075
Apache,1.000000,1.000000,0.369800
Proxifier,0.832044,0.526500,1.059101
OpenSSH,0.918038,0.554000,0.459784
OpenStack,0.994108,0.764000,1.875290
Mac,0.963472,0.756500,1.042243
Average,0.960722,0.792625,0.640852
